问题名,问题具体内容,回答信息
为什么现在国内各大高校仍选用谭浩强的《C 程序设计》为教材？,既然这本书已经如此过时并且错误非常多，而大学教授们应该肯定写过很多代码，知道此书弊端。并且国内并不是没有更好的 C 语言书籍。,IT界有个万人皆知的行业准则：不要重复造轮子。 它的意思是，你可以自己造的玩，但是如果人家已经有足够好的轮子，你就不要试图，甚至是通过各种手段，试图去取代这个轮子的地位。 同理，如果某个学科已经有足够好的教材，您没那水平编出更好的教材，就乖乖地用人家的教材就好了，这样既节省资源，同时也能保证中国学生看到的教材内的思想和国外学生是同步的。 中国大学有个毛病，就是什么东西也想搞个自己的出来。 就比如线性代数教材，如此重要的学科，用脚趾头也能想见，优秀的国外教材已经遍地走了，但是各个大学仍然要请自己学校的某几个水平堪忧，语言表达能力菜得扣脚的老师来编写一个教材，最后命其名曰“精品教材”，而这些垃圾教材坑害的是一批一批的优秀学生，当然如果能被一直坑下去的，自主学习能力也是有点问题... 可是世界上大多数学生就是这样，他们会乖乖地去上课，听老师念PPT，然后认真看学校推荐用的课本，然后当这些垃圾教材搞得他们一头雾水的时候，他们会用“这门课难”来安慰自己，最后学的不明不白，草草了事。 我刚来中国科学技术大学的时候，上学期的线性代数，学校用的教材就是所谓学校老师自己编的“精品教材”，这个教材是面向非数学专业学生的，我就看了三页就已经搞不明白它在说什么了，可以想象，这样的教材迫害了多少学生，耗费了多少学生的时间。 而且可以想象，编这本教材的老师们从中肯定可以得到补贴，能不能得到版税不清楚，但是补贴是肯定有的，而且同时这本教材的编写也能成为所谓的资金申请的理由，“为中国科学技术大学量身定制的教材”这句话多么好听啊，可事实上呢？ 由于答主英文水平过关，当时直接去图书馆借了一本英文的线性代数教材，面向数学专业的，从第一页开始看下去，便已停不下来，连住一看就是二三十页，看完感觉畅酣淋漓，舒畅至极，从那以后，线性代数课我再也没去过，除了最后的考试我出席了。 那次期末题不简单，我考了95分。 线性代数资源推荐，详情参见本人文章： 牛岱：线性代数优秀教材/资源推荐 5139 赞同 · 135 评论 文章 我自己知道，我并不聪明，若是我不看那本英文教材，我恐怕能考70分不错了。 这就是事实，还有很多例子，比如贵校叶邦角编的的《电磁学》和格利菲斯的《电动力学》在易懂性和深刻性上的巨大差异，前者啥也看不懂，后者看的畅酣淋漓。 《大学物理》与《费恩曼物理学讲义》的惊人对比，前者看的想要睡觉，后者看的我想
为什么现在国内各大高校仍选用谭浩强的《C 程序设计》为教材？,既然这本书已经如此过时并且错误非常多，而大学教授们应该肯定写过很多代码，知道此书弊端。并且国内并不是没有更好的 C 语言书籍。,牛岱：线性代数优秀教材/资源推荐 5139 赞同 · 135 评论 文章
为什么现在国内各大高校仍选用谭浩强的《C 程序设计》为教材？,既然这本书已经如此过时并且错误非常多，而大学教授们应该肯定写过很多代码，知道此书弊端。并且国内并不是没有更好的 C 语言书籍。,IT界有个万人皆知的行业准则：不要重复造轮子。 它的意思是，你可以自己造的玩，但是如果人家已经有足够好的轮子，你就不要试图，甚至是通过各种手段，试图去取代这个轮子的地位。 同理，如果某个学科已经有足够好的教材，您没那水平编出更好的教材，就乖乖地用人家的教材就好了，这样既节省资源，同时也能保证中国学生看到的教材内的思想和国外学生是同步的。 中国大学有个毛病，就是什么东西也想搞个自己的出来。 就比如线性代数教材，如此重要的学科，用脚趾头也能想见，优秀的国外教材已经遍地走了，但是各个大学仍然要请自己学校的某几个水平堪忧，语言表达能力菜得扣脚的老师来编写一个教材，最后命其名曰“精品教材”，而这些垃圾教材坑害的是一批一批的优秀学生，当然如果能被一直坑下去的，自主学习能力也是有点问题... 可是世界上大多数学生就是这样，他们会乖乖地去上课，听老师念PPT，然后认真看学校推荐用的课本，然后当这些垃圾教材搞得他们一头雾水的时候，他们会用“这门课难”来安慰自己，最后学的不明不白，草草了事。 我刚来中国科学技术大学的时候，上学期的线性代数，学校用的教材就是所谓学校老师自己编的“精品教材”，这个教材是面向非数学专业学生的，我就看了三页就已经搞不明白它在说什么了，可以想象，这样的教材迫害了多少学生，耗费了多少学生的时间。 而且可以想象，编这本教材的老师们从中肯定可以得到补贴，能不能得到版税不清楚，但是补贴是肯定有的，而且同时这本教材的编写也能成为所谓的资金申请的理由，“为中国科学技术大学量身定制的教材”这句话多么好听啊，可事实上呢？ 由于答主英文水平过关，当时直接去图书馆借了一本英文的线性代数教材，面向数学专业的，从第一页开始看下去，便已停不下来，连住一看就是二三十页，看完感觉畅酣淋漓，舒畅至极，从那以后，线性代数课我再也没去过，除了最后的考试我出席了。 那次期末题不简单，我考了95分。 线性代数资源推荐，详情参见本人文章： 牛岱：线性代数优秀教材/资源推荐 5139 赞同 · 135 评论 文章 我自己知道，我并不聪明，若是我不看那本英文教材，我恐怕能考70分不错了。 这就是事实，还有很多例子，比如贵校叶邦角编的的《电磁学》和格利菲斯的《电动力学》在易懂性和深刻性上的巨大差异，前者啥也看不懂，后者看的畅酣淋漓。 《大学物理》与《费恩曼物理学讲义》的惊人对比，前者看的想要睡觉，后者看的我想
为什么现在国内各大高校仍选用谭浩强的《C 程序设计》为教材？,既然这本书已经如此过时并且错误非常多，而大学教授们应该肯定写过很多代码，知道此书弊端。并且国内并不是没有更好的 C 语言书籍。,这个答案请勿转载。 我打个比方，大家看完我讲的之后（哪怕看似与计算机无关）、估计就能想明白怎回事了。 国内的音乐理论逻辑体系基本上就是在「李重光＋斯波索宾」这两套教材构筑的。 可能也有其它的音乐理论教材，但基本上都围绕这一套展开。 特别是斯波索宾，从苏联体系而来。 知乎有很多对这些教材的短版的讨论，我就不赘述了。 我本科是在加拿大读的（Digital Audio Arts 专业，学位是 Bachelor of Music），现已毕业了。 在本科阶段，拯救了我调性和声理论学习的，是岛冈让的《総合和声：実技・分析・原理》。 （完全模组化设计，自学者可以自己安排学习节奏、且书中的三大部分彼此互补。） 我惊讶於世间居然有对自学者如此友好的音乐理论教材， 忽然想起我首次出国之前看李重光乐理半天看不懂的样子，似乎明白了些什么。 之后一段时间内，我在知乎推荐岛冈让的《総合和声：実技・分析・原理》这套教材， 也有想著有朝一日等自己日语精进到一定地步了、就考虑翻译这本教材。 但我现在多了几份恐惧。 我在回答某些乐理问题时，很多人说我自造术语、甚至有人专门以此攻击我。 我专门买来斯波索宾的教材的简体中文译本（现在被我扔在加拿大了），才发现： 岛冈让的教材当中的术语逻辑体系，与国内现行这套苏修型音乐理论术语逻辑体系，有明显差异。 我忽然意识到： 国内这些对自学者不友好的教材所以能被推荐为圭臬，也是和某一群人的利益有关： 国内这么多音乐老师（无论是院校老师、还是面向大学外招各种年龄段的钢琴学生的老师）， 当中肯定是有一定比例的人受益于下面这个现状： 「国内能买到的中文教材，大多都需要老师点拨讲解、才能让你看懂。」 我也有好几次见到与斯波索宾的和声教材有关的评论说「必须得找个好老师给你讲」。 万一有人要是将岛冈让这本书（或者同种类型的优秀教材）翻译成中文引入国内，岂不是要砸了那群人的饭碗？ 毕竟，优秀的音乐教育资源，在中国，非常希缺。 剩下的那群人，要用最少的成本保住自己的饭碗，最直接的方式，就是在这个圈子里面搞封闭。 （看看 Arnold Schoenberg 的「Harmonielehre」的英文翻译，再看看简体中文译本，对比下后者少了什么，你必会有所发现。至少，我不认为「用目标语言写个 summary」就可以叫翻译了。） 在中国，从来不缺业馀钢琴10级的人， 但他们当中能够对乐曲的（包
为什么现在国内各大高校仍选用谭浩强的《C 程序设计》为教材？,既然这本书已经如此过时并且错误非常多，而大学教授们应该肯定写过很多代码，知道此书弊端。并且国内并不是没有更好的 C 语言书籍。,这个答案请勿转载。 我打个比方，大家看完我讲的之后（哪怕看似与计算机无关）、估计就能想明白怎回事了。 国内的音乐理论逻辑体系基本上就是在「李重光＋斯波索宾」这两套教材构筑的。 可能也有其它的音乐理论教材，但基本上都围绕这一套展开。 特别是斯波索宾，从苏联体系而来。 知乎有很多对这些教材的短版的讨论，我就不赘述了。 我本科是在加拿大读的（Digital Audio Arts 专业，学位是 Bachelor of Music），现已毕业了。 在本科阶段，拯救了我调性和声理论学习的，是岛冈让的《総合和声：実技・分析・原理》。 （完全模组化设计，自学者可以自己安排学习节奏、且书中的三大部分彼此互补。） 我惊讶於世间居然有对自学者如此友好的音乐理论教材， 忽然想起我首次出国之前看李重光乐理半天看不懂的样子，似乎明白了些什么。 之后一段时间内，我在知乎推荐岛冈让的《総合和声：実技・分析・原理》这套教材， 也有想著有朝一日等自己日语精进到一定地步了、就考虑翻译这本教材。 但我现在多了几份恐惧。 我在回答某些乐理问题时，很多人说我自造术语、甚至有人专门以此攻击我。 我专门买来斯波索宾的教材的简体中文译本（现在被我扔在加拿大了），才发现： 岛冈让的教材当中的术语逻辑体系，与国内现行这套苏修型音乐理论术语逻辑体系，有明显差异。 我忽然意识到： 国内这些对自学者不友好的教材所以能被推荐为圭臬，也是和某一群人的利益有关： 国内这么多音乐老师（无论是院校老师、还是面向大学外招各种年龄段的钢琴学生的老师）， 当中肯定是有一定比例的人受益于下面这个现状： 「国内能买到的中文教材，大多都需要老师点拨讲解、才能让你看懂。」 我也有好几次见到与斯波索宾的和声教材有关的评论说「必须得找个好老师给你讲」。 万一有人要是将岛冈让这本书（或者同种类型的优秀教材）翻译成中文引入国内，岂不是要砸了那群人的饭碗？ 毕竟，优秀的音乐教育资源，在中国，非常希缺。 剩下的那群人，要用最少的成本保住自己的饭碗，最直接的方式，就是在这个圈子里面搞封闭。 （看看 Arnold Schoenberg 的「Harmonielehre」的英文翻译，再看看简体中文译本，对比下后者少了什么，你必会有所发现。至少，我不认为「用目标语言写个 summary」就可以叫翻译了。） 在中国，从来不缺业馀钢琴10级的人， 但他们当中能够对乐曲的（包
为什么现在国内各大高校仍选用谭浩强的《C 程序设计》为教材？,既然这本书已经如此过时并且错误非常多，而大学教授们应该肯定写过很多代码，知道此书弊端。并且国内并不是没有更好的 C 语言书籍。,之前的回答过于草率，周末有空会改一下 如果换教材，怕是一并要换一批老师。我校某老师讲c语言，公开表示main的返回值应该是void，int是某些环境的特殊写法。然后上机的环境是devc，全体编译报错，课件上的代码都运行不起来，公开打脸。 以及其他经典言论：我们现代计算机，内存绝对够怎么写都不会爆，怎么写都不会溢出。上世纪我们没有钱，买正版Windows系统要给Microsoft送多少钱啊，所以我们应该用盗版系统。
为什么现在国内各大高校仍选用谭浩强的《C 程序设计》为教材？,既然这本书已经如此过时并且错误非常多，而大学教授们应该肯定写过很多代码，知道此书弊端。并且国内并不是没有更好的 C 语言书籍。,谭老师虽然问题多多，但还不至于太匪夷所思。给你们分享一下我985 IT强校的编译原理教材，几十块一本的书里蕴藏着大量天顶星科技。 重点我都画出来了，随便一个抛出来都是能稳拿图灵奖的成果，分分钟吊打IEEE全体。 不过实事求是，这本书总体没啥问题甚至比较优秀，上面那一段大概是某些不可抗力的体现，魔幻但真实。
为什么现在国内各大高校仍选用谭浩强的《C 程序设计》为教材？,既然这本书已经如此过时并且错误非常多，而大学教授们应该肯定写过很多代码，知道此书弊端。并且国内并不是没有更好的 C 语言书籍。,原来我读大学的时候就是学谭浩强版本的C语言，这么多年了还是这本啊？烂书一直用，能说明两个问题： 1. 改变要靠自己，等别人去改变是不靠谱的事情，哪怕改变难度很大； 2. 一本书籍可以养活一批人。教材、教案早已了然于胸，熟悉的内容滚瓜烂熟张口就来，哪里需要改变了？改变了还要我花时间去备课，去熟悉适应新内容，而且我自己也不一定学得会啊？那怎么去忽悠别人呢？
为什么现在国内各大高校仍选用谭浩强的《C 程序设计》为教材？,既然这本书已经如此过时并且错误非常多，而大学教授们应该肯定写过很多代码，知道此书弊端。并且国内并不是没有更好的 C 语言书籍。,大学里面有一群基础教研人员，有很多是早期留校的本科生。他们没有任何上进心，以985高校教师为荣（当然也没本事混副教授），抱着一套ppt混了20年。 可能这些人连指针都不懂，然而，他们属于历史遗留问题，不解决也很捉急的。
为什么现在国内各大高校仍选用谭浩强的《C 程序设计》为教材？,既然这本书已经如此过时并且错误非常多，而大学教授们应该肯定写过很多代码，知道此书弊端。并且国内并不是没有更好的 C 语言书籍。,不可否认《C程序设计》这本书放在今天来看的确烂，比如这种低级语法错误（第四版）： *29个字符居然只给出了28个。 * 07页-程序4，ture 和 flase 各亮相一次。 * “后辍”。 * rintf。 以及以下这种错误结论： * “凡是二元运算符都可以与赋值符组合成复合赋值符”。。 * “先定义，后使用”。 * “C的实数常量都是双精度型”，接着在后面提到“添加f来强制指定类型”。 并且《C程序设计》还出版的非常非常多： 的确，很多学子被这本书弄得看见C语言就瑟瑟发抖，失去了学编程的快感。 学习 C语言推荐两本书：《C primer plus》、《C和指针》。 谭老的书真的一般，但是，但是回复区一堆攻击谭老的是什么鬼，，，， 谭老堪称中国第一代计算机先驱，他那本《C语言程序设计》中出现的dos就是明证。 计算机行业发展迅猛、新旧更替以年计、甚至以月计！ C语言是1972年问世的，彼时谭浩强已经38岁了，1989年C语言完成第一次标准化，谭浩强这个时候已经55岁了，1991年，谭老在57岁高龄写出《C程序设计》，彼时还真不算太落后。1999年，C99标准才出来，这时候谭浩强已经65岁了，也很难有精力再去高速的迭代他那本书了。 2000年之后，经典的C语言书籍层出不穷，甚至可以用百花齐放百家争鸣来形容了，老谭的书的确已经毫无竞争力了。 但谭老并没有什么过错，这本书放在90年代，绝对是指路明灯般的存在，也是当年的计算机经典书籍，但时过境迁，计算机科学在发展、C语言也在高速发展，就好比一个过时的古董，自然没有任何实用价值。 问题来了，谁是坑学生们的罪魁祸首？答案不言而喻了吧！ 是那些偷懒的大学、那些偷懒的大学教授，不假思索的继续沿用一个上世纪90年代的教材，全然不顾计算机行业的飞速发展和经典计算机书籍的层出不穷，抱残守缺、因循守旧、冥顽不灵、顽固不化！ 是这些人坑了无数学生，让很多人看见C语言就瑟瑟发抖，甚至直接劝退了无数计算机学子。 而谭老呢？他把他的一生奉献给了中国计算机科学的发展，更是在2019年，将近乎终身的积蓄全数捐给了清华：100多万。 可能这100多万在诸位眼中算不得什么，在企业家动辄过亿的捐献中，更是少得可怜。 可试问大家一句，我们何尝捐过几万，哪怕几千？ 有些人，他已经奉献了他的一生，却还要承担骂名，可悲可叹！ 顺便送大家一份硬核计算机资源，都是国
现实中程序员是怎样飞快敲代码的？,哪些场景你最顺手、最烦躁、飞快敲代码最喜欢干啥，最烦啥？显示全部,当你看到一个程序员的两只手在键盘上上下翻飞，行云流水的时候，多半不是在敲击代码， 大概率是在跟产品经理撕逼讨论需求 另一种可能就是在跟测试打口水仗 10%几率是在论坛码字摸鱼 1%几率是在跟MM聊天 可以手速飞快而不需要停下思考的代码，多半也可以靠Ctrl + C/V 搞定。 而当你看到程序员双目呆滞，遥望天际的时候，多半编程开始了 —————————————— 6月7日更新 没想到随手写的段子 竟然戳中了这么多人的心。 感觉就像随手划了根火柴， 却炸翻了整座山头 既然这样，那我就多说点儿。 每逢项目之初， 我们飞速写下的每行代码， 都宛如十四行诗般简洁优雅， 每个变量都宛如慈父膝下的爱子，名正言顺 感觉每一处精心设计的逻辑， 都是一段完美的乐章， 应在维也纳的金色大厅永久传唱 每一段完美实现的逻辑代码块， 都应该镌刻在石碑上， 供后辈顶礼膜拜 就在你得意之际，更新SVN时， 一段“ int aa = 0;”莫名出现在你的代码里， 这感觉仿佛是石碑上被油漆笔歪歪扭扭喷上了“XXX到此一游，嘿嘿嘿” 一个不孝忤逆的逆子， 让你血压飙升，头发尽断 满屏的诗和远方， 瞬间成了眼前的苟且 ————————— 9月29日更新 随着窗外街灯的亮起， 夜 谦卑地跪在你的面前， 奉你为此间的主人， 双手呈上久违的宁静 你其实并不喜欢加班， 但却有些享受在办公室独处的感觉。 日间的嘈杂、突如其来的会议、打断思路的问题 让你无法集中精神 反而是现在， 除了机箱风扇散热发出的轰鸣声， 和空调百叶偶尔发出的咔哒声， 周围一片，万籁俱寂。 你伸了伸懒腰， 略微活动了下手指， 戴上耳机， 颠了颠手边略沉的快乐水， 一切准备就绪。 空灵的音乐带来无比的专注， 专注的力量令你灵感迸发， 敏捷的思维仿佛是疾走的奔雷， 划破厚重的迷雾， 整段代码原本错综复杂的逻辑， 被瞬间照亮，清晰无比。 在这一刻，你是无比自信的， 思路没有丝毫的滞塞， 指尖在键盘丛中飞速游走， 轻盈弹跳，整块代码一气呵成， 逻辑完整得就像整除一样干净利落， 没有丝毫得拖沓。 用户的每一步操作、每一处错误， 都在你的意料之中， 你就像是循循善诱的牧羊人， 指引着迷途的羔羊， 重返阳光大道。 用户仿佛是你座下的子民， 按照你预定的轨迹，徐徐前进。 而你， 此时此刻， 便是此间无可争议的王。 ...... 一个电话突然打了进来： “先生
